INDEX;OPSNAME;REGION;CITY
101000;МОСКВА;МОСКВА;
101300;МОСКВА-300;МОСКВА;
101700;УФПС Г. МОСКВЫ;МОСКВА;
101760;МОСКВА МСП-3 УЧ. НЕРОЗДАННЫХ ПО;МОСКВА;
101764;МОСКВА-КАЗАНСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-4 УЧ-4;МОСКВА;
101790;"МОСКВА ПКФ ""ПОЧТА-СЕРВИС""";МОСКВА;
101976;МОСКВА МСП-3 ЦЕХ-3 УЧ. ТАРЫ;МОСКВА;
101990;МОСКВА ГСП-8;МОСКВА;
102000;МОСКВА-КАЗАНСКИЙ ВОКЗАЛ ПЖДП;МОСКВА;
102001;МОСКВА-КАЗАНСКИЙ ВОКЗАЛ ПЖДП-1;МОСКВА;
102002;МОСКВА-КАЗАНСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-1;МОСКВА;
102004;МОСКВА-КАЗАНСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-3;МОСКВА;
102006;МОСКВА-КАЗАНСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-4;МОСКВА;
102007;МОСКВА-КАЗАНСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-5;МОСКВА;
102010;МОСКВА-КАЗАНСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-5 УЧ-5.5;МОСКВА;
102011;МОСКВА-КАЗАНСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-3 УТК ВСПО;МОСКВА;
102015;МОСКВА-КАЗАНСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-4 ОБРАБ. ППИ;МОСКВА;
102024;МОСКВА-КАЗАНСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-9 УЧ-9.3;МОСКВА;
102026;МОСКВА-КАЗАНСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-3 УЧ-3.3;МОСКВА;
102028;МОСКВА-КАЗАНСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-3 УО ВСПО;МОСКВА;
102100;МОСКВА-ЯРОСЛАВСКИЙ ВОКЗАЛ ПЖДП;МОСКВА;
102101;МОСКВА-ЯРОСЛАВСКИЙ ВОКЗАЛ ПЖДП-1;МОСКВА;
102102;МОСКВА-ЯРОСЛАВСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-1;МОСКВА;
102103;МОСКВА-ЯРОСЛАВСКИЙ ВОКЗАЛ ПЖДП ЦЕХ 3;МОСКВА;
102104;МОСКВА-ЯРОСЛАВСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-3 УЧ-3.1;МОСКВА;
102105;МОСКВА-ЯРОСЛАВСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-3 УЧ-3.2;МОСКВА;
102106;МОСКВА-ЯРОСЛАВСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-3 УЧ-3.3;МОСКВА;
102107;МОСКВА-ЯРОСЛАВСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-3 УЧ-3.4;МОСКВА;
102150;МОСКВА-ПАВЕЛЕЦКИЙ ВОКЗАЛ ПЖДП;МОСКВА;
102151;МОСКВА-ПАВЕЛЕЦКИЙ ВОКЗАЛ ПЖДП-1;МОСКВА;
102152;МОСКВА-ПАВЕЛЕЦКИЙ ВОКЗАЛ ПЖДП ЦЕХ- 1;МОСКВА;
102153;МОСКВА-ПАВЕЛЕЦКИЙ ВОКЗАЛ ПЖДП ЦЕХ-3;МОСКВА;
102160;МОСКВА-ПАВЕЛЕЦКИЙ ВОКЗАЛ УОПП;МОСКВА;
102161;МОСКВА-ПАВЕЛЕЦКИЙ ВОКЗАЛ УОПП УЧ. ТАРЫ;МОСКВА;
102162;МОСКВА-ПАВЕЛЕЦКИЙ ВОКЗАЛ ПЖДП PI-Z;МОСКВА;
102220;МОСКВА-КИЕВСКИЙ ВОКЗАЛ ОПП;МОСКВА;
102221;МОСКВА-ЯРОСЛАВСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-4;МОСКВА;
102240;МОСКВА-БЕЛОРУССКИЙ ВОКЗАЛ ОПП;МОСКВА;
102241;МОСКВА-БЕЛОРУССКИЙ ВОКЗАЛ ОПП-1;МОСКВА;
102300;МОСКВА-ВНУКОВО АОПП;МОСКВА;
102301;МОСКВА-ВНУКОВО АОПП-1;МОСКВА;
102302;МОСКВА-ВНУКОВО АОПП ЦЕХ-1;МОСКВА;
102892;МОСКВА-КАЗАНСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-9 УЧ. ТАРЫ;МОСКВА;
102895;МОСКВА-ЯРОСЛАВСКИЙ ВОКЗАЛ ПЖДП ЦЕХ-4 УЧ. ТАРЫ;МОСКВА;
